"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"1055",1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"1057",1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
"1059",2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"1060",2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"1063",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1068",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2
"1069",2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2
"1072",2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"1074",1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2
"1077",1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2
"1081",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1083",1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,2
"1096",2,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2
"1099",1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2
"1105",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1106",1,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2
"1107",2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"1109",2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
"1111",2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
